"DCA"	[["PA (1)", 3.110053251573342], ["ML (1)", 3.8530913216108904], ["F9", 5.4030986681163355], ["DL", 5.703246443389435], ["NW", 6.239069328598292], ["CO", 6.78360789568941], ["AA", 6.935533108183487], ["US", 7.366737349572277], ["TZ", 7.369952494061757], ["PI", 7.457583230579531], ["EA", 7.491274241766104], ["HP", 7.562859439737802], ["AS", 7.869453139385012], ["UA", 8.344834085610833], ["DH", 8.707843137254901], ["XE", 8.823634279893035], ["TW", 9.194842406876791], ["EV", 9.669418644650843], ["9E", 10.4896449704142], ["FL", 10.535195971961695], ["OH", 11.380744900593855], ["MQ", 12.091475606504932], ["9.0", 12.734649122807017], ["YV", 13.358585858585858]]
"DEN"	[["TZ", 6.219349626338113], ["HP", 6.567803715634791], ["US", 7.290264186113202], ["ML (1)", 7.634433962264151], ["DL", 7.889836169608711], ["NW", 7.892785322718383], ["EA", 8.076949384404925], ["FL", 8.190461907618475], ["XE", 8.210187517492303], ["AA", 8.375751206370822], ["CO", 8.569248448190477], ["EV", 8.897244278374592], ["OH", 9.168148148148148], ["F9", 9.243809234584774], ["OO", 9.261629009186013], ["TW", 9.679515640766903], ["PA (1)", 9.858886346300533], ["9.0", 10.083507306889352], ["PI", 10.307368421052631], ["AS", 10.663473618090451], ["WN", 11.347170903263144], ["UA", 11.546916174496605], ["YV", 12.235734655920645], ["9E", 13.162217659137577], ["B6", 14.940014367816092]]
"DET"	[["WN", 6.886242666770271]]
"DFW"	[["NW", 5.125439277075442], ["TW", 5.3229945577629305], ["EA", 5.337694704049844], ["ML (1)", 6.043026706231454], ["PA (1)", 6.625524156791249], ["TZ", 7.218731117824773], ["OO", 7.613843589659793], ["HP", 7.883865868117836], ["F9", 8.246120038456256], ["CO", 8.613365645280538], ["DL", 8.711219146265815], ["US", 8.713466397508055], ["XE", 9.022149430666042], ["EV", 9.543371103002368], ["PI", 10.73326414115205], ["UA", 10.771534244517873], ["AA", 11.078344694590857], ["AS", 11.545454545454545], ["YV", 11.732615894039736], ["MQ", 11.82931182730944], ["OH", 11.902342561606329], ["FL", 11.952543132422138], ["9.0", 15.168711656441717], ["9E", 15.426369863013699]]
"DHN"	[["EV", 13.599839534650487]]
"DLG"	[["AS", 13.41358024691358]]
"DLH"	[["NW", 5.8045660742172975], ["9.0", 9.24074074074074], ["9E", 10.337337337337337], ["MQ", 11.232123212321232]]
"DRO"	[["HP", 5.2049987376925015], ["MQ", 6.056521739130435], ["XE", 6.651685393258427], ["OO", 7.42350367244882], ["AA", 10.225593667546175], ["YV", 11.273083055515292]]
"DSM"	[["US", 2.1912479740680713], ["ML (1)", 3.573473282442748], ["HP", 3.7810512219618344], ["NW", 4.26176272706885], ["TW", 4.418532194784214], ["AA", 5.632470744582672], ["OH", 7.290851034291268], ["XE", 7.868838405486498], ["DH", 8.847305389221557], ["UA", 8.912213740458014], ["9.0", 10.57876712328767], ["CO", 11.52], ["OO", 12.96085409252669], ["MQ", 13.33755679509438], ["YV", 14.662777396476779], ["9E", 14.82872460496614], ["EV", 15.316468253968255]]
"DTW"	[["PA (1)", 4.595927116827438], ["ML (1)", 5.043689320388349], ["US", 6.350564657229203], ["AA", 6.895812437311935], ["F9", 6.974417282546901], ["PI", 7.8177987109568665], ["DL", 7.8409572328730395], ["EA", 8.061754615258945], ["TW", 8.974467203563197], ["DH", 9.296828908554572], ["FL", 9.446261374126335], ["WN", 9.787075299524354], ["CO", 9.803331104845508], ["UA", 9.85128784136617], ["9.0", 9.853959420860829], ["OH", 10.341659412040448], ["NW", 10.64212473826383], ["9E", 10.98964556718855], ["HP", 11.487287851345005], ["YV", 16.426467881465122], ["MQ", 16.825728379836598], ["EV", 16.88312034078807], ["XE", 17.361291356244493], ["OO", 18.823838737949167]]
"DUT"	[["AS", 16.28782930546484]]
"EAU"	[["NW", 2.244815668202765], ["9.0", 3.8333333333333335], ["9E", 18.933333333333334]]
"EFD"	[["XE", 2.6079346557759626], ["CO", 3.6312292358803986]]
"EGE"	[["HP", 8.356435643564357], ["YV", 12.030617408906883], ["DL", 12.67851851851852], ["CO", 13.097502972651606], ["UA", 13.668811668811669], ["AA", 16.768936923506942], ["NW", 18.58132045088567], ["US", 20.522727272727273]]
"EKO"	[["OO", 5.383895286223179]]
"ELM"	[["PI", 2.6326352530541013], ["US", 4.707832595403753], ["9.0", 7.288624787775891], ["9E", 11.139643861293345]]
"ELP"	[["UA", 3.5181086519114686], ["CO", 4.517138147936358], ["US", 5.031324345757335], ["EV", 5.263291139240506], ["HP", 5.3246846074121725], ["OO", 5.534471066907776], ["DL", 5.746712389102121], ["YV", 6.744025157232705], ["AA", 6.81657286622166], ["XE", 7.152925531914893], ["WN", 7.407664598759256], ["TW", 7.421374045801527], ["F9", 15.666666666666666]]
"ERI"	[["NW", 4.364864864864865], ["OH", 4.646532438478747], ["XE", 5.879828326180258], ["US", 5.937683113984095], ["DH", 6.887399463806971], ["9.0", 7.4814410480349345], ["9E", 9.786716557530402], ["EV", 17.21562952243126]]
"EUG"	[["AA", 1.7854778651220522], ["YV", 6.532141130981151], ["XE", 6.573059360730594], ["OO", 9.062843261512462], ["US", 9.629716981132075], ["UA", 11.63439498933902], ["PS", 12.850574712643677], ["CO", 17.9203187250996]]
"EVV"	[["US", 3.4154641982031038], ["9.0", 5.943621595795509], ["EA", 6.492795389048991], ["DH", 7.055746140651801], ["OH", 7.439877457237682], ["PI", 7.870566272557561], ["9E", 9.712402636309168], ["MQ", 13.0029051229363], ["EV", 14.204640438103473]]
"EWN"	[["EV", 14.69224620303757]]
